ciudad, idema, fechaIniStr, fechaFinStr
Alicante,8025, 1944-01-01T00%3A00%3A00UTC, 1947-12-31T23%3A59%3A59UTC
Alicante_aeropuerto,8019, 1964-01-01T00%3A00%3A00UTC, 1967-12-31T23%3A59%3A59UTC
Javea,8050X, 1992-01-01T00%3A00%3A00UTC, 1995-12-31T23%3A59%3A59UTC
Pinoso,7247X, 2000-01-01T00%3A00%3A00UTC, 2003-12-31T23%3A59%3A59UTC
Valencia,8416, 1944-01-01T00%3A00%3A00UTC, 1947-12-31T23%3A59%3A59UTC
Valencia_aeropuerto,8414A, 1960-01-01T00%3A00%3A00UTC, 1963-12-31T23%3A59%3A59UTC
Valencia_Viveros,8416Y, 2000-01-01T00%3A00%3A00UTC, 2003-12-31T23%3A59%3A59UTC
Oliva, 8058X,1988-01-01T00%3A00%3A00UTC, 1991-12-31T23%3A59%3A59UTC
Polinya_Jucar,8325X, 1992-01-01T00%3A00%3A00UTC, 1995-12-31T23%3A59%3A59UTC
Utiel,8309X, 1988-01-01T00%3A00%3A00UTC, 1991-12-31T23%3A59%3A59UTC
Xativa,8293X, 1992-01-01T00%3A00%3A00UTC, 1995-12-31T23%3A59%3A59UTC
Castellon_Plana,8501, 1948-01-01T00%3A00%3A00UTC, 1951-12-31T23%3A59%3A59UTC
Castellon_Almazora,8500A, 1972-01-01T00%3A00%3A00UTC, 1975-12-31T23%3A59%3A59UTC
Castellfort,9563X, 1992-01-01T00%3A00%3A00UTC, 1995-12-31T23%3A59%3A59UTC
Villafranca_Cid,8489X, 2008-01-01T00%3A00%3A00UTC, 2011-12-31T23%3A59%3A59UTC
Vinaros,8523X, 1988-01-01T00%3A00%3A00UTC, 1991-12-31T23%3A59%3A59UTC
