Variable,Model,Scenario,1981-2010,2011-2040,2041-2070,2071-2100
tas,ACCESS-CM2,ssp126,5.975702,1.7955670000000001,3.46875,4.0109259999999995
tas,ACCESS-CM2,ssp245,5.975702,1.6037615333333335,3.5450750000000006,4.6645509999999994
tas,ACCESS-CM2,ssp370,5.975702,1.9164106666666676,3.9382020000000004,5.793182999999999
tas,ACCESS-CM2,ssp585,5.975702,1.9165424,4.2299500000000005,7.124694999999999
tas,ACCESS-ESM1-5,ssp126,9.203638,1.450131933333335,2.6875610000000005,2.943726
tas,ACCESS-ESM1-5,ssp585,9.203638,1.9880433333333336,3.7483520000000006,6.009125000000001
tas,AWI-CM-1-1-MR,ssp585,8.574091,1.7888424666666687,3.8033140000000003,6.094208
tas,BCC-CSM2-MR,ssp126,6.3326964,1.1812664400000008,1.950439600000001,1.8274235999999995
tas,BCC-CSM2-MR,ssp245,6.3326964,1.4450379133333326,3.0111086,3.5004276
tas,BCC-CSM2-MR,ssp370,6.3326964,1.2021606466666679,3.0423586,5.444641600000001
tas,BCC-CSM2-MR,ssp585,6.3326964,1.5804019733333332,3.662842600000001,5.9152536
tas,CAMS-CSM1-0,ssp126,7.2117248,0.5604165999999999,0.8956612000000002,1.1036381999999998
tas,CAMS-CSM1-0,ssp245,7.2117248,0.47242219999999957,1.5784302000000006,1.8602602
tas,CAMS-CSM1-0,ssp370,7.2117248,0.7098775133333346,1.6811832000000004,2.7070926999999996
tas,CAMS-CSM1-0,ssp585,7.2117248,0.5880553800000001,1.8401191999999993,3.313080200000001
tas,CAS-ESM2-0,ssp126,8.821039,1.5561341333333338,2.764861999999999,3.251434999999999
tas,CAS-ESM2-0,ssp245,8.821039,1.2781334666666648,2.981781,4.163238999999999
tas,CAS-ESM2-0,ssp370,8.821039,1.3501265999999976,2.807250999999999,4.468323
tas,CAS-ESM2-0,ssp585,8.821039,1.7119165999999986,3.4568179999999984,5.373840999999999
tas,CESM2-WACCM,ssp126,8.903986,1.701159866666666,3.1295780000000004,3.3898010000000003
tas,CESM2-WACCM,ssp245,8.903986,1.588461999999998,3.3551640000000003,4.185547
tas,CESM2-WACCM,ssp370,8.903986,1.4629374666666664,3.8796999999999997,5.488341999999999
tas,CESM2-WACCM,ssp585,8.903986,1.8756146666666655,4.506897,7.373016
tas,CIESM,ssp126,8.457819,1.385756466666665,1.706847999999999,1.5426029999999997
tas,CIESM,ssp245,8.457819,1.6743893999999973,3.256805,3.797516
tas,CIESM,ssp585,8.457819,1.4679060666666661,4.224547999999999,7.772216999999998
tas,CMCC-CM2-SR5,ssp126,8.875727,1.2721002000000006,2.8829650000000004,3.6225579999999997
tas,CMCC-CM2-SR5,ssp245,8.875727,0.9983578999999985,2.9821160000000013,4.386383
tas,CMCC-CM2-SR5,ssp370,8.875727,0.9345378666666662,2.791137000000001,4.430694000000001
